aine_kood,nimi_et,eap,semester,kirjeldus,toimumisajad,oppejoud,opivaljundid,keel,hindamisskaala,asukoht,oppeaste,hindmaismeetod,miinimumnouded,eeldusained
KKSP.05.261,Veespordi algõpetus,3.0,kevad,"Omandatakse ujumise algõpetuse metoodika; sportlike ujumisviiside, startide ja pöörete tehnika. Ohutusnõuded ja järelvalve ujumistundides.","Esmaspäev, Neljapäev, Reede","Ando Pehme, Marge Kõrkjas",,eesti keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,bakalaureuseõpe,Praktiliste oskuste ja teoreetiliste teadmiste alusel,"Praktikumide sooritamine, arvestuslike nõuete täitmine.Kohustuslik läbida 90% praktikumidest (lubatud põhjusega puududa 3-st praktikumist)",
FLEE.06.194,Soome keel lingvistidele,3.0,kevad,"Tutvutakse  soomekeelse keeleteadusliku terminoloogiaga, loetakse erialaseid artikleid, tehakse neist nii eesti kui soomekeelseid kokkuvõtteid. Kursuse jooksul refereeritakse ja tutvustatakse teistele üht oma uurimisteemaga seotud soomekeelset teksti.",Teisipäev,Margit Kuusk,,eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,bakalaureuseõpe,Kontrolltööd + ettekanne ja kokkuvõte,"Osavõtt seminaridest  (sooritatud kodutööd), kontrolltööd ja peetud suuline ettekanne, kirjalik soomekeelne kokkuvõte loetust.","FLEE.06.003 Soome keel, tase 0 > B1"
ARAI.01.045,Anestesioloogia ja intensiivravi,3.0,sügis,"Kursuse põhitähelepanu on pööratud kirurgilisele haigele. Tutvustatakse anesteesia põhilisi meetodeid. Üliõpilased saavad ülevaate haige ettevalmistusest, haige käsitlemist pärast anesteesiat, õpivad käsitlema hingamisteid. Omandatakse põhiteadmised ja oskused infusioonravi läbiviimiseks ning šokiseisundite diagnoosimiseks ja raviks, samuti ravipõhimõtted elustamiseks kliinilisest surmast. Praktilised oskused: vabade hingamisteede tagamine, esmased elustamisvõtted.",,"Alar Sõrmus, Fred Värsi, Joel Starkopf, Liivi Maddison, Martin Padar, Olavi Maasikas, Peeter Tähepõld",,inglise keel,"Eristamata (arv, m.arv, mi)",Tartu linn,integreeritud bakalaureuse- ja magistriõpe,"The final assessment is formed from combination of two parts: 
1.	Multiple choice questions test in Moodle. A total of 50 questions, each has 4 to 5 answer choices. For passing the test, at least 37 points from 50 maximal has to be achieved. The test has to be completed before oral exam. 
2.	Oral exam at end of the week of practical works, where student has to prescribe the infusion therapy for the case given, and to answer the acid-base status question.",Participation in all practical works.,
HTOS.02.244,Maailma lastekirjanduse autoreid,3.0,kevad,"Kursus koosneb 6 valdkonnast.1. Eeposed ja mütoloogia lastele.
2.  Muinasjutuautorite stiil ja  eripära. 3. Ajalooline ülevaade maailma lastekirjanduse kaanonist 4. Tänapäevase ühiskonna probeemid lastekirjanduses 5. Lastekirjanduse seosed muude meediumidega. 6. Uusi autoreid maailma lastekirjanduses.","Neljapäev, Reede",Jaanika Palm,,eesti keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,integreeritud bakalaureuse- ja magistriõpe,"	Kursuse lõplik tulemus kujuneb seminarides sooritatud töödest ja kodulugemise teoste kokkuvõtetest, mis pannakse kirja õpimappi; algupärase lastekirjanduse päeva refleksioonist;  suulisest paaris- või rühmaettekandest koos materjali kirjaliku esitamisega ning suulist ja kirjalikku komponenti sisaldavast lõpueksamist. ",Osavõtt on vähemalt 10 kohtumisest on kohustuslik.,
SORG.00.031,Poliitilised ideoloogiad,6.0,kevad,"Ideoloogiad on vahendid, milleta ei saa läbi ei üksikisikud, mitteformaalsed võrgustikud, sotsiaalsed liikumised, huvigrupid, erakonnad, riigid ega ka rahvus-vahelised ja -ülesed organisatsioonid. Ideoloogiad liidavad inimesi poliitikaga, aitavad inimestel poliitikat mõista, korrastavad riikide- ja parteidevahelist konkurentsi ja koostööd, organiseerivad poliitikat kohalikul, riiklikul ja riigiülesel tasandil ning annavad sihid ja eesmärgid, mida järgides erinevad poliitilised toimijad (liikumised, huvigrupid, erakonnad, riigid) üritavad tõusta võimule ja-või muuta riiki ja ühiskonda. Et ideoloogiad (liberalism, sotsialism, konservatism, fašism, natsionaalsotsialism, anarhism, feminism, ökologism, mitmekultuurilisus, usuline fundamentalism, vabastusideoloogiad) pakuvad igaüks välja erinevaid ja tihti vastandlikke arusaamu olemasolevast (mis on hästi või halvasti) ja tulevast (kuidas peaks olema), on kursuse eesmärgiks mõtestada ja mõista poliitikas toimuvat lähtuvalt erinevate ideoloogiate vaadetest ja käsitlustest, kõigepealt mõista konstruktiivselt iga ideoloogilist vaadet ning anda seejärel võimalus igale osalejale kujundada välja oma argumenteeritud seisukoht vastava ideoloogia suhtes. Kursuse jooksul koostavad tudengid uurimuse sellest, kuidas ideoloogia (ideologiad) toimib (toimivad) valitud toimija(te) näitel, uurimises kasutatakse võrdlevat meetodit.",Esmaspäev,Alar Kilp,,eesti keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,bakalaureuseõpe,"26% - hindelised ülesanded auditoorses tunnis (13 x 2%).
24% - hindelised ülesanded Moodle's (lugemismaterjalide, õppevideote ja auditoorselt käsitletu üle) (12 x 2%).
10% - uurimistöö kavand
2% - tagasiside-hinnang kaastudengi kavandile (vastavalt Moodle'is olevale kavandi juhendile)
30% - uurimistöö
4% - uurimistöö ettekandmine
2% - tagasiside-hinnang kaastudengi tööle (vastavalt Moodle'is olevale kavandi juhendile)
2% - essee Moodle's (mida olulist sain teada, mis mõte või küsimus tekkis või mida õppisin kaastudengite töödest)","Alates teisest loengust kuni viimaseni (kaasa arvatud) on lugemismaterjalide, tunni temaatikat käsitlenud õppevideo ja-või eelmises loengus käsitletu tundmist kontrollivad lühitestid, mille koondtulemus on vähemalt 12 punkti 24st võimalikust. Testid toimuvad Moodle's ajavahemikus 24h jooksul enne vastava tunni toimumist.
Ideoloogia analüüsi kavandi õigeaegne esitamine ning positiivne koondtulemus, üle 5ne punkti 10st võimalikust.
Ideoloogia analüüsi uurimistöö õigeaegne esitamine ning positiivne koondtulemus, üle 15ne 30st võimalikust.",
FLEE.08.087,Foneetika,3.0,kevad,"Kursusel antakse ülevaade foneetika uurimisalast, põhilistest teemadest ja uurimismeetoditest ning eri keelte foneetilistest seaduspärasustest.",Esmaspäev,Pire Teras,,eesti keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,bakalaureuseõpe,"Kogu kursuse lõpphinne kujuneb neljast osast:
- jooksvad testid (Moodle) ja kolm õpipäevikusissekannet (10 p, kui tehtud üle lävendi või arvestatud),
- nelja põhiteemadega seotud refleksioonid (kuni 20 p), 
- ühe keele häälduse ülevaate kirjutamine (kuni 30 p) ja selle põhjal lühiettekanne (kuni 5 p),
- eksamitöö (kuni 35 p)","Kursusel aktiivselt osalemine, koduste ülesannete täitmine, nelja refleksiooni kirjutamine. Iseseisvalt ühe keele hääldussüsteemiga tutvumine ja sellest referatiivse lühiülevaate kirjutamine ja lühiettekande pidamine.",FLEE.08.053 Keeleteaduse alused
FLEE.08.116,Keeletüpoloogia,3.0,kevad,"Kursus koosneb loengutest, mis sisaldavad ka aruteluosa, ning kahest seminarist. Kursuse vältel töötab iga üliõpilane ühe keele grammatikaga.",Neljapäev,"Miina Norvik, Petar Dimitrov Kehayov, Renate Pajusalu",,inglise keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,"bakalaureuseõpe, magistriõpe","Loengutes ja seminarides osalemine, kodutööde postitused (20%), 5 keele võrdlus (40%), kontrolltöö terminite peale (40%).",Kodutööde postitamine Moodle'is. Aktiivne osalemine loengutes ja seminarides.,
HVLC.01.002,Ingliskeelsed kultuurid,6.0,kevad,"Kursus annab ülevaate ingliskeelsete kultuuride ühisjoontest ning käsitleb seejärel nelja kultuuri - Suurbritanniat, Iirimaad, Kanadat ja Ameerika Ühendiike - põhjalikumalt. Keskendutakse riikide ühiskonnakorraldusele ja väärtushinnangutele, nii ajaloolises dimensioonis kui päevakajaliste küsimuste valguses. Üliõpilased õpivad analüüsima erinevaid ühiskondlikke ja kultuurilisi fenomene riikides eraldi ning riikide võrdluses, samuti võrdluses nende endi kultuuriga.","Teisipäev, Neljapäev","Eva Rein, Raili Marling, Ülle Türk",,inglise keel,"Eristav (A, B, C, D, E, F, mi)",,bakalaureuseõpe,"Aktiivne osalemine õppetöös 10%
Jooksvad ülesanded 60% (Suurbritannia 20%, Kanada 10%, Iirimaa 10%, Ameerika Ühendriigid 20%)
Uurimistöö, milles võrreldakse ühte kultuuriaspekti kahes kultuuris 30%","Aktiivselt osaletud vähemalt 80% õppetööst
Jooksvad kodutööd sooritatud",
HVLC.03.021,"Itaalia keel algtasemele II, tase A1.1 > A1.2",6.0,kevad,"Kursusel käsitletakse järgnevaid teemasid: puhkusel; minevikusündmustest rääkimine; söögid ja joogid, toidupoes; igapäevased tegevused; riided, värvid; perekond.
Grammatika: minevik: passato prossimo kasutamine; superlativo assoluto; asesõnad (i partitivi (singolare), i pronomi diretti lo, la, li, le, ne); si impersonale kasutamine; questo/quello kasutamine; omastavad asesõnad; minevik: imperfetto.","Teisipäev, Neljapäev",Annika Mikkel,,eesti keel,"Eristamata (arv, m.arv, mi)",,"bakalaureuseõpe, doktoriõpe, magistriõpe, rakenduskõrgharidusõpe",,"1) Aktiivne osalemine tundides.
2) Semestri jooksul kolme kontrolltöö sooritamine positiivsele tulemusele (töödes on vähemalt 60% õigeid vastuseid igas kontrolltöö osas).
3) Suuline arvestus.",
HVLC.08.011,"Jaapani keel eelkesktasemele I, tase A2.1 > A2.2",6.0,kevad,"Käsitletavad teemad: uued sõbrad, restorani külastus, Okinawa reis, jaapaniteemaline üritus, pühad, net shopping, kuulsad turismiobjektid. 
Grammatika teemad: erinevad väljendid tegusõnaga (muutus, konditsionaal, passiiv, eesmärk, põhjendamine, tsiteerimine), modaalsus (potentsiaal, soovitus, keeld).","Teisipäev, Neljapäev, Laupäev",Eri Miyano,,eesti keel,"Eristamata (arv, m.arv, mi)",,"bakalaureuseõpe, doktoriõpe, integreeritud bakalaureuse- ja magistriõpe, magistriõpe","Arvestustöö tulemuse põhjal. Arvestusele lubatakse need, kel on kõik eelnevalt märgitud jooksvad tööd tehtud ja esitatud. Suuline ülesanne annab teatud punkti.","Osalemine tundides vähemalt 75% ulatuses.
1. Kõik kirjandid esitada ja tagasi saadud kirjandid panna õpimappi.
2. Täidetud enesehindamise lehed (Cando, nihongo, kultuur).
3. Korras õpimapp, milles on kõikide õppetükkide sõnadetöö lehed (vähemalt 1 töö iga õppetüki kohta), katsudo lehed, sakubunid, enesehindamislehed.",
FLKE.02.276,"Prantsuse keel algtaseme läbinuile (süvaõpe), tase A1 > A2",12.0,kevad,"Kursus on ehitatud üles temaatilistele kommunikatsioonieesmärkidele (kaaskondsete ja perekonna tutvustamine, peresündmustest teavitamine, lühieluloo koostamine; esemete kirjeldamine, kingituse valik, ostude sooritamine, kultuuritavade-traditsioonide võrdlus, söögikombed, roogade kirjeldamine, söögikoha külastamine etc), mille käigus omandatakse ja harjutatakse vastavat sõnavara ja vajalikke grammatikareegleid.",,Tiina Zobel,,eesti keel,"Eristav (A, B, C, D, E, F, mi)",,"bakalaureuseõpe, doktoriõpe, magistriõpe",Eksamihinne kujuneb hindeliste arvestuste koondhindena (kirjalikud testid ja suulised vastamised).,"1) Aktiivne osalemine tundides vähemalt 90% ulatuses.
2) Kirjalike kodutööde esitamine nõuetekohasel tasemel ja õigeaegselt.
3) Positiivne tulemus kontrolltööde eest (65% õigeid vastuseid).Ühte kontrolltööd on võimalus teha kaks korda, kontrolltöö järelevastamine toimub kahe nädala jooksul pärast kontrolltöö toimumist õppejõuga kokkulepitud ajal, hiljem järele vastata pole võimalik; kontrolltööst kaks korda läbi kukkumine tähendab eksamile mittelubamist.
 
- Iseseisvalt loetud lektüüri vastamine (kontrollivormid: kirjalik/suuline tõlge emakeelde ja vestlus loetu üle prantsuse keeles)
- Suuline vastamine kolmes osas: 
1) Aine jooksul läbivõetud teemasid haarav vestlus (kordamisküsimused Moodle-is).
2) Loo jutustamine minevikus (kogetud minevikusündmuse edasiandmine kasutades kaht minevikuaega passé composé/imparfait) + looga seotud vestlus.
3) Loo jutustamine minevikus kasutades erinevaid aegu (passé composé/imparfait/plus-que-parfait) ja kõneviise (Indicatif/Conditionnel/Subjonctif) + looga seotud vestlus.",
LOMR.03.022,Mikroobifüsioloogia,3.0,kevad,"Kursus annab ülevaate bakterite talitluse üldistest seaduspärasustest ja põhimõistetest. Käsitletakse bakterite ainevahetust, kasvu- ja arengufüsioloogiat, keskkonna muutuste toimet organismi kui terviku funktsioonile, stressifüsioloogiat. kirjeldatakse protsesse, mis toimuvad rakkude jagunemisel. Rõhku on pandud geenide ekspressioonile ning ekspressiooni regulatsioonile lähtuvalt bakteri füsioloogiast. Andakse ülevaade raku membraanide ehitusest ja funktsioonidest. Käsitletakse ainete transporti ja kirjeldatakse erinevaid sekretsioonisüsteeme. Käsitletakse kvoorumi tunnetamisega seotud füsioloogilisi muutusi bakterirakus. Selgitatkse, millised muutused toimuvad stressi tingimustes kasvavates bakterites. Iseloomutatakse füsioloogiliste protsesside geneetilistregulatsiooni erinevates kasvutingimustes.",,Riho Teras,,eesti keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,bakalaureuseõpe,"
Eksamile (järeleksamile) pääseb siis, kui kõik e-testid on sooritatud.

Hindamine on kirjalik, eesti keeles. 
Eksamil tuleb vastata umbes 5 erineva mahuga  küsimusele. Eksamil on nii üldisi kui kitsaid, detailseid vastuseid nõudvaid, küsimusi. Hinnatakse tudengi üldistamisoksust ning seoste leidmise võimet aine erinevate teemade vahel. Peale üldistamisoskuse hinnatakse veel täpseid teadmisi protsesside toimumisest.

Hinne ""A"" 91-100% maksimumist
""B"" 81-90%
""C"" 71-80%
""D"" 61-70%
""E"" 51-60%
""F"" 0-50%","Iga loengu järel on Moodles e-test. Test loetakse sooritatuks siis, kui on testi ühes soorituses on 100% vastused õiged enne testi sulgumist. Kui e-test annab teate ""Soorita test 10 minuti pärast uuesti"", siis selle testiga pole saavutatud 100% ning test pole sooritatud. Üldiselt testid sulguvad järgmise nädala teisipäeva hilisõhtul. Testi soortiamiste arv ega aeg enne tähtaega pole piiratud. 

Eksamile pääseb siis, kui kõik testid on tähtajaks sooritatud. Testid ei anna eksamile kaasa lisapunkte, vaid õiguse eksamit sooritada. E-testi või e-testide mittesooritamise korral eksamile ei pääse ning esimese eksami hinne on ""F"". Järeleksamile pääseb siis, kui ""mittesooritatud"" e-testid sooritatakse enne järeleksamit 100-protsendiliselt. Tingimused vaata eest. Selleks avatakse korraliste eksamite järel vajalikud e-testid. 

Tudengid peavad ise jälgima Moodle'st e-testi sulgumise aegu, sellest eraldi teada ei anta.","LOMR.03.010 Geneetika I, LOMR.03.020 Mikrobioloogia II"
ARMP.01.026,Inimese molekulaarne ja kliiniline geneetika,6.0,kevad,"Kursus annab inimese ja meditsiinigeneetika alusteadmised ning ülevaate kliinilise geneetiku tööst.
Käsitletakse monogeensete ja kromosoomhaiguste geneetikat; arengugeneetikat; multifaktoriaalsete haiguste ja kasvajate geneetikat; geneetika laiemat rolli meditsiinis ja selle eripärasid; molekulaardiagnostika, pärilike haiguste sõeluuringute ja geeniteraapia aluseid; kaasaegseid kliinilise geneetika tööpõhimõtteid ning koostööd teiste meditsiinierialadega.",,"Angelina Panenko, Anu Valkna, Elis Tiivoja, Kai Muru, Kaisa Teele Oja, Karit Reinson, Katrin Õunap, Kristi Tael, Kristiina Lillepea, Laura Kasak, Laura Mauring, Lisanna Põlluaas, Maris Laan, Mikk Tooming, Oliver Mõttus, Sander Pajusalu, Tiia Reimand, Tiina Kahre, Triin Kikas, Triin Laisk",,inglise keel,"Eristav (A, B, C, D, E, F, mi)",,integreeritud bakalaureuse- ja magistriõpe,"Final assessment of the course materials takes place in two separate tests:
1. Basic human and medical genetics
2. Clinical genetics.

The students have to pass the set threshold in both tests. The final mark reflects the knowledge in both parts of the course with the weight 2/3 for part 1 and 1/3 for part 2.","1. Mandatory attendance to the practical course.
2. Independent homework and set tasks (e.g. in Moodle or to be presented at the course) positively conducted and presented on-time to the course lecturer.",
MV00.00.007,Praktika valiktsükkel,7.0,kevad,"VI kursuse kliinilise praktika osana saab 4 nädala arvelt pikendada ühte põhitsüklitest (kirurgia, sisemeditsiin, erakorraline meditsiin, peremeditsiin) või sooritada valiktsükli enda poolt valitud kohas, mõnes muus kliinikus, instituudis või hoopis tervishoiukorralduslikus asutuses. Valiktsükli sooritamise eelduseks on selle sooritamise koha nõusolek vastu võtta praktikant kokkulepitud ajal.
Kokkuleppel praktika juhendajatega on valiktsüklina võimalik arvestada teadusuurimust.",,Sulev Haldre,,inglise keel,"Eristamata (arv, m.arv, mi)",Tartu linn,integreeritud bakalaureuse- ja magistriõpe,,,
MV00.00.004,Kirurgia praktika,12.0,kevad,"Kirurgia praktika kestab 8 nädalat (4+4), mida võib sooritada abdominaalkirurgia, lastekirurgia, onkokirurgia, traumatoloogia,  uroloogia, veresoontekirurgia, torakaalkirurgia ning üldkirurgia osakondades. 
Lisaks kliinilisele igapäevatööle tuleb üliõpilasel praktika raames tegeleda arstile vajalike praktiliste oskuste harjutamisega ning võimalusel võtta osa seminaridest. 
Käsitletakse kirurgilise haige uurimist, raviplaani koostamist, ravikäigu ja tulemuste hindamist, andmete dokumenteerimist ning ettekandmist.
Praktika käigus tuleb täita praktikapäevikut.",,Ceith Nikkolo,,inglise keel,"Eristamata (arv, m.arv, mi)",Tartu linn,integreeritud bakalaureuse- ja magistriõpe,,,
ARPO.01.031,Perearstiteadus II,4.0,kevad,"Selekteerimata sümptomide probleemikeskse käsitlemise, riskirühmade väljaselgitamise ja ennetava ning profülaktilise tegevuse metoodika. Sagedasemad probleemid perearstiteaduses. Ambulatoorsete sissekannete metoodika. Epikriiside koostamine. Koduvisiitide metoodika. Perearsti suhtlemine patsientide ja teiste erialade arstidega. Konsultatsiooni metoodika. Perekonna käsitlus perearsti praktikas.",,"Heli Tähepõld, Kadri Suija, Kertu Rünkorg, Laura Kaljurand, Liina Pilv-Toom, Liina Reima, Marje Oona, Marta Velgan, Ruth Kalda, Tarmo Loogus",,inglise keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,integreeritud bakalaureuse- ja magistriõpe,"Qualitative assessment, grades A, B, C, D, E, F. The lowest passing grade is E. Please refer to the assessment criteria provided above.","- At least 100% participation in the seminars.
- To presen in time all individual home-works.","MV00.00.015 Sisehaigused, AR00.00.066 Kirurgia"
KKSB.05.038,Laste füsioteraapia II,6.0,kevad,Kursus võimaldab tutvuda tõenduspõhiste hindamis- ja teraapiameetoditega lapseeas sagedamini esinevate haigusseisundite puhul.,"Esmaspäev, Teisipäev, Kolmapäev, Neljapäev, Reede","Kadri Medijainen, Monika Mets",,eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,magistriõpe,"Kirjalike kontrolltööde positiivse tulemusega sooritamine. Kontrolltöö on sooritatud positiivse tulemusega, kui töö eest on saadud vähemalt 23 punkti/30 punktist.","- Aktiivne osalemine seminarides (eeldab mh kaasüliõpilaste töödega tutvumist ning ettekannete analüüsimist). Seminarides-praktikumides osalemine on kohustuslik. Lubatud on puududa maksimaalselt 2 korral. Rohkemate puudumiste korral tuleb need lisatööga kompenseerida. 12-st või rohkemast seminarist puudumine ei võimalda lõpphinnet saada.
- Õigeaegselt esitatud kodutööd ja ettekanded.",
ARFA.02.080,Arvutusülesanded farmatseutilises analüüsis,1.0,kevad,"Farmaatsiaüliõpilastele tutvustatakse farmatseutilises analüüsis kasutatavaid peamisi arvutusvõtteid - kontsentratsiooni väljendamise viisid (protsent, molaarsus, normaalsus), ümberarvutused erinevate kontsentratsiooni väljendamise viiside vahel,  pH-arvutused, reaktsioonivõrrandite tasakaalustamine, saagise arvutamine.",,Andres Meos,,eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,integreeritud bakalaureuse- ja magistriõpe,Kirjaliku kontrolltöö positiivne sooritus.,"Loengutest osavõtt, kontrolltestide 100% sooritamine ja kontrolltöö positiivne sooritamine",
ARKI.02.035,Täiendavat lastekirurgiast,1.5,kevad,"Valikkursus on mõeldud IV-VI kursuse arstiteaduse üliõpilastele, kes on huvitatud kirurgiast ja lastekirurgiast. Kursust võib läbida paralleelselt kirurgia (AR00.00.066) tsükliga. Süvendatult käsitletakse sagedasemate erakorraliste ja plaaniliste lastekirurgiliste haiguste diagnostikat ja ravitaktikat, lahendatakse situatsioonülesandeid ning arutatakse haigusjuhte. Lisaks käsitletakse harvem esinevaid kirurgilisi haigusi ja seisundeid lastel, nende diagnostikat, iseärasusi ja ravitaktikat.","Esmaspäev, Kolmapäev","Jekaterina Nerman, Pille-Riin Värk, Ragnar Lõivukene, Viljo Kübarsepp",,eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,integreeritud bakalaureuse- ja magistriõpe,Kirjalik arvestus,Loengutest osavõtt,MV00.00.039 Diagnostika alused
OIEO.06.081,Intellektuaalsel omandil baseeruva ettevõtte elutsükli õiguslikud aspektid,6.0,kevad,"Tegemist on erinevaid õigusvaldkondi hõlmava koondainega, mis käsitleb järgmiseid teemasid:
1. IO-l baseeruvate ettevõtete elutsüklite ülevaade, innovatsioon ning erinevad ärimudelid
2. IO-l baseeriva ettevõtte asutamine ning struktureerimine
3. Peamised lepingulised suhted ettevõttes, kui eesmärgiks IO adekvaatne kaitse (asutajad, töötajad, alltöövõtjad)
4. Risikikapitali kaasamine erinevates faasides, läbirääkimised
5.	IT ettevõte ja nn targad töösuhted: välistööjõu kaasamine, tööjõu motiveerimine, migratsiooniküsimused, optsioonid
6.	Ettevõtte IO strateegia kujundamine","Neljapäev, Reede, Laupäev","Aleksei Kelli, Maris Vutt, Marta Cantero Gamito",,inglise keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,magistriõpe,"Final score of the subject (total 100 points) shall be composed as followings:
1) Participation in compulsory seminars (4 seminars may provide in total max. 12 points);
-	Participation in marked 4 seminars is compulsory;
-	In every compulsory seminar the student may collect maximum 3 points for the active participation (participation in the discussions)
2) Legal memo assignment provides maximum of 13 points.
3) Final exam in subject: max 75 points","Compulsory participation in 4 seminars
Submission and positive score in legal memo writing (Homework).",OI00.00.003 Bakalaureuseeksam
SORG.01.040,Projektijuhtimine,3.0,kevad,"Kursuse käigus antakse ülevaade projektijuhtimise teooriast ja meetoditest ning nende teadmiste alusel koostavad tudengid iseseisvalt projekti. Muuhulgas tutvustab kursus nõudeid, millele edukas projekt vastama peab. Eraldi pööratakse tähelepanu projekti aruandlusele ja hindamisele. Kursusel on suur praktiline väärtus.",,Martin Daniel Hayford,,inglise keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,"bakalaureuseõpe, integreeritud bakalaureuse- ja magistriõpe, magistriõpe, rakenduskõrgharidusõpe","Participation (30%) 
Project proposal (40%) 
Project simulation (30%)","To be eligible for the final grade, students are expected 
To attend at least 80% of the lectures. 
To meet the total calculated weighted grade 51 or above on participation, the project proposal and the project simulation.",
LOOM.02.238,Maateaduste alused II,4.0,kevad,"Annab ülevaate atmosfääri, hüdrosfääri ja biosfääri üldistest seaduspärasustest, kujunemisest ja arengust.",,Ain Kull,,eesti keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,bakalaureuseõpe,Eksam (kirjalik test),puuduvad,
FLLC.08.005,Jaapani ajalugu,3.0,kevad,Kursusel antakse ülevaade jaapani ajaloost kuni tänapäevani. Kursuse jooksul on vaja teha üks suuline ettekanne või kirjalik referaat ning kursus lõppeb iseseisva kirjaliku tööga.,Kolmapäev,Ene Selart,,eesti keel,"Eristamata (arv, m.arv, mi)",,"bakalaureuseõpe, doktoriõpe, integreeritud bakalaureuse- ja magistriõpe, magistriõpe, rakenduskõrgharidusõpe","1) loengutes oslemine;
2) referaat või ettekanne;
3) iseseisev kirjalik töö.","Osalemine vähemalt 80% kohtumistest on kohustuslik. Puudumised ja võlgnevused likvideeritakse kokkuleppel õppejõuga.
Loenguteks valmistumine (kodulugemine) ja aktiivne osalemine loengutes.
Lisaks aruteludes kaasa rääkimisele tuleb kursuse käigus teha valitud teemal suuline ettekanne või kirjalik referaat (teemad jagatakse ning nõudmised täpsustatakse esimese ja teise loengu käigus).",
LTFY.01.004,Füüsika praktikum I - mehaanika ja soojusõpetus,6.0,kevad,"Praktikum füüsika suuna bakalaureuseõppe 1. aasta üliõpilastele. Praktikumi jooksul tuleb individuaalselt või rühmatööna sooritada 10 praktilist tööd. Praktilisi töid sooritatakse juhendava õppejõu poolt koostataud ajakava järgi. Ühe praktikumitöö mõõtmiste tegemiseks ja juhendava õppejõu küsimustele vastamiseks on ette nähtud 4 auditoorse töö tundi. Iseseisva töö käigus tehakse lõpptulemuste saamiseks vajalikud arvutused, antakse mõõtemääramatuse hinnangud ja vormistatakse töö aruanne. Aruanne valmib reeglina ühe nädala jooksul; see esitatakse juhendavale õppejõule esimesel võimalusel. Protokollide kontrollimine ja õppejõu küsimustele vastamine toimub jooksva töö käigus.",Teisipäev,"Eero Uustalu, Kaido Reivelt, Valter Kiisk",,eesti keel,"Eristamata (arv, m.arv, mi)",,bakalaureuseõpe,Kõik praktikumitööd on arvestatud,On tarvis sooritada kõik 10 praktilist tööd  ning kaitsta  nende nõuetekohaselt vormistatud aruanded. Töö vastamisel on vaja  vestluses õppejõuga demonstreerida tehtu olemuse mõistmist.,"LOFY.01.121 Füüsika ja tehnika, LTFY.01.011 Laboritöö praktikum"
LOOM.03.010,Maateaduste alused I välipraktikum,3.0,kevad,"Praktika käigus külastatakse Eestile iseloomulikke geoloogilisi objekte ning läbilõikeid, tutvutakse 
tähtsamate aluspõhja paljanditega ja pinnakatte vormidega.",,"Kalle Kirsimäe, Peeter Somelar",,eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,bakalaureuseõpe,Välipäeviku korrektne täitmine ja esitamine,"Osalemine välipraktikal, praktikumi käigus välipäeviku täitmine",LOOM.03.115 Maateaduste alused I
HVLC.01.016,"Erialane inglise keel matemaatilise statistika üliõpilastele, tase B2 > C1",3.0,kevad,"Õppijad loevad ja analüüsivad erialaseid tekste, teevad tööd sõnavaraga, teevad ettekande ja kuulavad esitlusi, arutlevad tunni teemadel.",Reede,Anett Raup,,eesti keel,"Eristamata (arv, m.arv, mi)",,"bakalaureuseõpe, doktoriõpe, magistriõpe","Arvestus saadakse siis, kui semestri jooksul on täidetud kõik hindamisele pääsemise tingimused.","1. Osalemine õppetöös vähemalt 75% tundidest. Aktiivne osalemine seminarides ja kõikide koduste ülesannete tegemine on nn jooksva arvestuse saamise tingimuseks.
2. Kahe kontrolltöö õigeaegne sooritamine. Kontrolltöö loetakse arvestatuks, kui üliõpilane saab vähemalt 71% õigeid vastuseid. Kui kontrolltöö koosneb mitmest osast, hinnatakse iga osa eraldi. Kontrolltööd saab järele vastata kokkuleppel õppejõuga.
3. Ettekande tegemine erialasel teemal ja terminite tutvustamine.
4. Erialase artikli lugemine ja vastamine.",
